user_name,"San Francisco, CA",state,post_city,latitude,longitude,post_time,sentiment_score,magnitude,text
John Gabaldon,"Los Angeles, CA",California,los_angeles,34.052235,-118.243683,Wed Nov 28 02:15:33 +0000 2018,-0.4,0.4,Chinese Scientist Claims to Use Crispr to Make First Genetically Edited Babies
Andrew Smith,"Los Angeles, CA",California,los_angeles,34.052235,-118.243683,Wed Nov 28 01:29:30 +0000 2018,-0.1,0.1,China baby gene editing claim ' dubious '
Michael G Williams,"Los Angeles, CA",California,los_angeles,34.052235,-118.243683,Tue Nov 27 21:35:31 +0000 2018,0,0,"Scientists , Officials in China Abhor Gene Editing That Geneticist Claims This is a natural"
Randy LaMonda,"Los Angeles, CA",California,los_angeles,34.052235,-118.243683,Tue Nov 27 19:10:50 +0000 2018,-0.1,0.5,"RT : Completely unsurprised that people are already gene-editing human babies , and that the first would come from China . Sligh"
Matt Owens,"Los Angeles, CA",California,los_angeles,34.052235,-118.243683,Tue Nov 27 18:38:09 +0000 2018,0.4,0.4,I have so many feelings about this
Celtic Minstrel,"Los Angeles, CA",California,los_angeles,34.052235,-118.243683,Tue Nov 27 18:30:35 +0000 2018,-0.1,0.5,"RT : Completely unsurprised that people are already gene-editing human babies , and that the first would come from China . Sligh"
Daniel Sweren-Becker,"Los Angeles, CA",California,los_angeles,34.052235,-118.243683,Tue Nov 27 18:14:11 +0000 2018,-0.1,0.1,"If you're stubborn like me and only believe things once it's reported by the NYT , here ya go :"
Rosannah Bennett,"Los Angeles, CA",California,los_angeles,34.052235,-118.243683,Tue Nov 27 18:13:48 +0000 2018,-0.1,0.5,"RT : Completely unsurprised that people are already gene-editing human babies , and that the first would come from China . Sligh"
General Physics Lab,"Los Angeles, CA",California,los_angeles,34.052235,-118.243683,Tue Nov 27 17:25:04 +0000 2018,0.3,0.3,CRISPR co-inventors warn about editing embryos - Axios - + GENERAL PHYSICS LABORATORY ( GPL ) CRISPR co-inventors war
“post woke”,"Los Angeles, CA",California,los_angeles,34.052235,-118.243683,Tue Nov 27 17:16:28 +0000 2018,-0.3,0.7,"8 Or a doctor can inject a single sperm into an egg . In either case , the woman will not be infected and neither w"
Michael Alexander,"Los Angeles, CA",California,los_angeles,34.052235,-118.243683,Tue Nov 27 17:02:59 +0000 2018,-0.4,0.4,Chinese Scientist Claims to Use Crispr to Make First Genetically Edited Babies via
General Physics Lab,"Los Angeles, CA",California,los_angeles,34.052235,-118.243683,Tue Nov 27 16:55:06 +0000 2018,-0.1,0.1,"The road to enhancement , via human gene editing , is paved with good intentions - + GENERAL PHYSICS LABORATORY ( GPL )"
Genomico,"Los Angeles, CA",California,los_angeles,34.052235,-118.243683,Tue Nov 27 16:55:01 +0000 2018,0,0,"RT : The ethical debate over designer babies has focused on using gene-editing to select such traits as eye color , intelligence o"
RV,"Los Angeles, CA",California,los_angeles,34.052235,-118.243683,Tue Nov 27 16:54:35 +0000 2018,0,0,"RT : The ethical debate over designer babies has focused on using gene-editing to select such traits as eye color , intelligence o"
Marlom Portillo,"Los Angeles, CA",California,los_angeles,34.052235,-118.243683,Tue Nov 27 15:05:43 +0000 2018,-0.4,0.4,Chinese Scientist Claims to Use Crispr to Make First Genetically Edited Babies
Marlom Portillo,"Los Angeles, CA",California,los_angeles,34.052235,-118.243683,Tue Nov 27 15:05:23 +0000 2018,-0.2,0.2,Chinese Scientist Claims to Use Crispr to Make First Genetically Edited Babies - The New York Times
Ted Hope,"Los Angeles, CA",California,los_angeles,34.052235,-118.243683,Tue Nov 27 15:01:51 +0000 2018,0.1,0.6,"Jump to 50 years later , when everyone's been doing it in very many different ways . What's the world look like then ?"
Dominic Giovannoni,"Los Angeles, CA",California,los_angeles,34.052235,-118.243683,Tue Nov 27 14:56:46 +0000 2018,-0.1,0.5,"RT : Completely unsurprised that people are already gene-editing human babies , and that the first would come from China . Sligh"
headache w/ pictures 🌹⚑Ⓥ,"Los Angeles, CA",California,los_angeles,34.052235,-118.243683,Tue Nov 27 14:51:40 +0000 2018,0,0,"Chinese scientist claims world's first gene-edited babies , amid denial from hospital , international outcry"
James Gilbert Brady,"Los Angeles, CA",California,los_angeles,34.052235,-118.243683,Tue Nov 27 14:48:53 +0000 2018,0.2,0.2,A Reckless and Needless Use of Gene-Editing on Human Embryos
Jagdeep Jiandani,"Los Angeles, CA",California,los_angeles,34.052235,-118.243683,Tue Nov 27 14:09:34 +0000 2018,-0.2,0.2,"Scientists , officials in China abhor gene editing that geneticist ..."
BORN Ontario,"Los Angeles, CA",California,los_angeles,34.052235,-118.243683,Tue Nov 27 13:59:08 +0000 2018,-0.6,0.6,Chinese scientist claims world's first gene-edited babies ; hospital casts doubt
Fabrizio Pomata,"Los Angeles, CA",California,los_angeles,34.052235,-118.243683,Tue Nov 27 12:50:08 +0000 2018,-0.1,0.5,"RT : Completely unsurprised that people are already gene-editing human babies , and that the first would come from China . Sligh"
Kyle Arnone,"Los Angeles, CA",California,los_angeles,34.052235,-118.243683,Tue Nov 27 12:29:13 +0000 2018,-0.1,0.5,"RT : Completely unsurprised that people are already gene-editing human babies , and that the first would come from China . Sligh"
Mika Suojanen,"Los Angeles, CA",California,los_angeles,34.052235,-118.243683,Tue Nov 27 12:00:18 +0000 2018,-0.1,0.5,"RT : Completely unsurprised that people are already gene-editing human babies , and that the first would come from China . Sligh"
Arturo Araujo,"Los Angeles, CA",California,los_angeles,34.052235,-118.243683,Tue Nov 27 11:41:09 +0000 2018,-0.1,0.5,"RT : Completely unsurprised that people are already gene-editing human babies , and that the first would come from China . Sligh"
Arcadiaworldwide,"Los Angeles, CA",California,los_angeles,34.052235,-118.243683,Tue Nov 27 11:03:06 +0000 2018,-0.3,0.3,"Scientists , officials in China abhor gene editing that geneticist claims"
David King,"Los Angeles, CA",California,los_angeles,34.052235,-118.243683,Tue Nov 27 10:24:55 +0000 2018,-0.1,0.5,"RT : Completely unsurprised that people are already gene-editing human babies , and that the first would come from China . Sligh"
Douglas Marques,"Los Angeles, CA",California,los_angeles,34.052235,-118.243683,Tue Nov 27 10:10:28 +0000 2018,-0.1,0.5,"RT : Completely unsurprised that people are already gene-editing human babies , and that the first would come from China . Sligh"
Ekain Payán Ellakuria,"Los Angeles, CA",California,los_angeles,34.052235,-118.243683,Tue Nov 27 09:53:05 +0000 2018,-0.1,0.5,"RT : Completely unsurprised that people are already gene-editing human babies , and that the first would come from China . Sligh"
庄言,"Los Angeles, CA",California,los_angeles,34.052235,-118.243683,Tue Nov 27 09:39:17 +0000 2018,-0.4,0.4,Chinese Scientist Claims to Use Crispr to Make First Genetically Edited Babies
Donna Gillis,"Los Angeles, CA",California,los_angeles,34.052235,-118.243683,Tue Nov 27 09:27:35 +0000 2018,0,0,"RT : The ethical debate over designer babies has focused on using gene-editing to select such traits as eye color , intelligence o"
Kristen Slawinski,"Los Angeles, CA",California,los_angeles,34.052235,-118.243683,Tue Nov 27 06:23:57 +0000 2018,0,0.4,I've been waiting for China to make a gene edited human ... it was only a matter of time . But editing them to be res
LynnWilson,"Los Angeles, CA",California,los_angeles,34.052235,-118.243683,Tue Nov 27 04:54:42 +0000 2018,0,0,"RT : The ethical debate over designer babies has focused on using gene-editing to select such traits as eye color , intelligence o"
Zen Honeycutt,"Los Angeles, CA",California,los_angeles,34.052235,-118.243683,Tue Nov 27 04:45:26 +0000 2018,-0.5,0.5,JUST BECAUSE WE CAN DOES NOT MEAN WE SHOULD-Chinese Scientist Claims to Use Crispr to Make First Genetically Edited
J,"Los Angeles, CA",California,los_angeles,34.052235,-118.243683,Tue Nov 27 04:31:46 +0000 2018,0,0,"RT : The ethical debate over designer babies has focused on using gene-editing to select such traits as eye color , intelligence o"
Keiko,"Los Angeles, CA",California,los_angeles,34.052235,-118.243683,Tue Nov 27 04:25:59 +0000 2018,0,0,"RT : The ethical debate over designer babies has focused on using gene-editing to select such traits as eye color , intelligence o"
Sean Dunne,"Los Angeles, CA",California,los_angeles,34.052235,-118.243683,Tue Nov 27 04:18:56 +0000 2018,0,0,"RT : The ethical debate over designer babies has focused on using gene-editing to select such traits as eye color , intelligence o"
Innocent Selatlhwa,"Los Angeles, CA",California,los_angeles,34.052235,-118.243683,Tue Nov 27 04:11:31 +0000 2018,0,0,"RT : The ethical debate over designer babies has focused on using gene-editing to select such traits as eye color , intelligence o"
James Curtis,"Los Angeles, CA",California,los_angeles,34.052235,-118.243683,Tue Nov 27 04:10:06 +0000 2018,0,0,"RT : The ethical debate over designer babies has focused on using gene-editing to select such traits as eye color , intelligence o"
Frank,"Los Angeles, CA",California,los_angeles,34.052235,-118.243683,Tue Nov 27 04:07:17 +0000 2018,0,0,"RT : The ethical debate over designer babies has focused on using gene-editing to select such traits as eye color , intelligence o"
craig s matsuda,"Los Angeles, CA",California,los_angeles,34.052235,-118.243683,Tue Nov 27 04:05:34 +0000 2018,0,0,"RT : The ethical debate over designer babies has focused on using gene-editing to select such traits as eye color , intelligence o"
D.Seals,"Los Angeles, CA",California,los_angeles,34.052235,-118.243683,Tue Nov 27 04:00:37 +0000 2018,0,0,"RT : The ethical debate over designer babies has focused on using gene-editing to select such traits as eye color , intelligence o"
Jerry,"Los Angeles, CA",California,los_angeles,34.052235,-118.243683,Tue Nov 27 03:59:43 +0000 2018,0,0,"RT : The ethical debate over designer babies has focused on using gene-editing to select such traits as eye color , intelligence o"
Kathleen Rowlands,"Los Angeles, CA",California,los_angeles,34.052235,-118.243683,Tue Nov 27 03:58:10 +0000 2018,0,0,"RT : The ethical debate over designer babies has focused on using gene-editing to select such traits as eye color , intelligence o"
Janet Bogren,"Los Angeles, CA",California,los_angeles,34.052235,-118.243683,Tue Nov 27 03:55:38 +0000 2018,0,0,"RT : The ethical debate over designer babies has focused on using gene-editing to select such traits as eye color , intelligence o"
Fozia Khan,"Los Angeles, CA",California,los_angeles,34.052235,-118.243683,Tue Nov 27 03:52:05 +0000 2018,0,0,"RT : The ethical debate over designer babies has focused on using gene-editing to select such traits as eye color , intelligence o"
Estarianne,"Los Angeles, CA",California,los_angeles,34.052235,-118.243683,Tue Nov 27 03:51:55 +0000 2018,0,0,"RT : The ethical debate over designer babies has focused on using gene-editing to select such traits as eye color , intelligence o"
Los Angeles Times,"Los Angeles, CA",California,los_angeles,34.052235,-118.243683,Tue Nov 27 03:50:05 +0000 2018,0.2,0.2,"The ethical debate over designer babies has focused on using gene-editing to select such traits as eye color , int"
Denyse,"Los Angeles, CA",California,los_angeles,34.052235,-118.243683,Tue Nov 27 01:58:31 +0000 2018,-0.4,0.4,Chinese Scientist Claims to Use Crispr to Make First Genetically Edited Babies via
Chrysta Olson Bilton,"Los Angeles, CA",California,los_angeles,34.052235,-118.243683,Tue Nov 27 01:57:03 +0000 2018,-0.4,0.4,Chinese Scientist Claims to Use Crispr to Make First Genetically Edited Babies via
Milky Way (ஆகாஷ்) Aakash,"Los Angeles, CA",California,los_angeles,34.052235,-118.243683,Tue Nov 27 01:23:05 +0000 2018,-0.1,0.5,"RT : Completely unsurprised that people are already gene-editing human babies , and that the first would come from China . Sligh"
Kirsten W,"Los Angeles, CA",California,los_angeles,34.052235,-118.243683,Tue Nov 27 01:21:24 +0000 2018,-0.1,0.5,"RT : Completely unsurprised that people are already gene-editing human babies , and that the first would come from China . Sligh"
David Kieltyka,"Los Angeles, CA",California,los_angeles,34.052235,-118.243683,Tue Nov 27 00:57:07 +0000 2018,-0.1,0.5,"RT : Completely unsurprised that people are already gene-editing human babies , and that the first would come from China . Sligh"
Thekwisatzhaderach,"Los Angeles, CA",California,los_angeles,34.052235,-118.243683,Tue Nov 27 00:56:07 +0000 2018,-0.1,0.5,"RT : Completely unsurprised that people are already gene-editing human babies , and that the first would come from China . Sligh"
Isabella trevino,"Los Angeles, CA",California,los_angeles,34.052235,-118.243683,Tue Nov 27 00:48:11 +0000 2018,-0.4,0.4,"Chinese Scientist Claims to Use Crispr to Make First Genetically Edited Babies The researcher , He Jiankui , offered"
Jamie Scott,"Los Angeles, CA",California,los_angeles,34.052235,-118.243683,Tue Nov 27 00:47:18 +0000 2018,-0.4,0.4,Chinese Scientist Claims to Use Crispr to Make First Genetically Edited Babies
Griffin Andrea,"Los Angeles, CA",California,los_angeles,34.052235,-118.243683,Tue Nov 27 00:47:10 +0000 2018,-0.4,0.4,"Chinese Scientist Claims to Use Crispr to Make First Genetically Edited Babies The researcher , He Jiankui , offered"
Jen Betty,"Los Angeles, CA",California,los_angeles,34.052235,-118.243683,Tue Nov 27 00:46:23 +0000 2018,-0.4,0.4,"Chinese Scientist Claims to Use Crispr to Make First Genetically Edited Babies The researcher , He Jiankui , offered"
Ash,"Los Angeles, CA",California,los_angeles,34.052235,-118.243683,Tue Nov 27 00:22:17 +0000 2018,-0.1,0.5,"RT : Completely unsurprised that people are already gene-editing human babies , and that the first would come from China . Sligh"
Vincenzo Palazeti,"Los Angeles, CA",California,los_angeles,34.052235,-118.243683,Tue Nov 27 00:19:26 +0000 2018,-0.1,0.5,"RT : Completely unsurprised that people are already gene-editing human babies , and that the first would come from China . Sligh"
devilyonder,"Los Angeles, CA",California,los_angeles,34.052235,-118.243683,Tue Nov 27 00:13:04 +0000 2018,-0.1,0.3,That in China there is a baby to be born from CRISP Gene editing says a lot about the state of affairs . It is not s
Cindy Quinn,"Los Angeles, CA",California,los_angeles,34.052235,-118.243683,Mon Nov 26 23:50:33 +0000 2018,-0.1,0.5,"RT : Completely unsurprised that people are already gene-editing human babies , and that the first would come from China . Sligh"
cuneyt ozdas,"Los Angeles, CA",California,los_angeles,34.052235,-118.243683,Mon Nov 26 23:41:53 +0000 2018,-0.1,0.5,"RT : Completely unsurprised that people are already gene-editing human babies , and that the first would come from China . Sligh"
minoru matsui,"Los Angeles, CA",California,los_angeles,34.052235,-118.243683,Mon Nov 26 23:41:27 +0000 2018,-0.1,0.5,"RT : Completely unsurprised that people are already gene-editing human babies , and that the first would come from China . Sligh"
Ziyaad Bhorat,"Los Angeles, CA",California,los_angeles,34.052235,-118.243683,Mon Nov 26 23:35:20 +0000 2018,-0.1,0.5,"RT : Completely unsurprised that people are already gene-editing human babies , and that the first would come from China . Sligh"
Cheryl de Boissiere,"Los Angeles, CA",California,los_angeles,34.052235,-118.243683,Mon Nov 26 23:34:25 +0000 2018,-0.1,0.5,"RT : Completely unsurprised that people are already gene-editing human babies , and that the first would come from China . Sligh"
Amit Singh,"Los Angeles, CA",California,los_angeles,34.052235,-118.243683,Mon Nov 26 23:33:10 +0000 2018,-0.1,0.5,"RT : Completely unsurprised that people are already gene-editing human babies , and that the first would come from China . Sligh"
Matt Elrod,"Los Angeles, CA",California,los_angeles,34.052235,-118.243683,Mon Nov 26 23:33:09 +0000 2018,-0.1,0.5,"RT : Completely unsurprised that people are already gene-editing human babies , and that the first would come from China . Sligh"
Iᴠᴏɴɴᴇ H 🧡☕👓,"Los Angeles, CA",California,los_angeles,34.052235,-118.243683,Mon Nov 26 23:31:46 +0000 2018,-0.1,0.5,"RT : Completely unsurprised that people are already gene-editing human babies , and that the first would come from China . Sligh"
Bob D,"Los Angeles, CA",California,los_angeles,34.052235,-118.243683,Mon Nov 26 23:27:43 +0000 2018,-0.1,0.5,"RT : Completely unsurprised that people are already gene-editing human babies , and that the first would come from China . Sligh"
Jay Baldwin,"Los Angeles, CA",California,los_angeles,34.052235,-118.243683,Mon Nov 26 23:23:54 +0000 2018,-0.1,0.5,"RT : Completely unsurprised that people are already gene-editing human babies , and that the first would come from China . Sligh"
czarina,"Los Angeles, CA",California,los_angeles,34.052235,-118.243683,Mon Nov 26 23:22:48 +0000 2018,-0.1,0.5,"RT : Completely unsurprised that people are already gene-editing human babies , and that the first would come from China . Sligh"
"Don't touch mucous membranes, wash hands🖖","Los Angeles, CA",California,los_angeles,34.052235,-118.243683,Mon Nov 26 23:20:33 +0000 2018,-0.1,0.5,"RT : Completely unsurprised that people are already gene-editing human babies , and that the first would come from China . Sligh"
Antonio Dieguez,"Los Angeles, CA",California,los_angeles,34.052235,-118.243683,Mon Nov 26 23:18:31 +0000 2018,-0.1,0.5,"RT : Completely unsurprised that people are already gene-editing human babies , and that the first would come from China . Sligh"
"Dr. Kate Shaw MA., MS., PsyD.","Los Angeles, CA",California,los_angeles,34.052235,-118.243683,Mon Nov 26 23:16:07 +0000 2018,-0.1,0.5,"RT : Completely unsurprised that people are already gene-editing human babies , and that the first would come from China . Sligh"
Bruce Almich,"Los Angeles, CA",California,los_angeles,34.052235,-118.243683,Mon Nov 26 23:15:59 +0000 2018,-0.1,0.5,"RT : Completely unsurprised that people are already gene-editing human babies , and that the first would come from China . Sligh"
Tony Priddy ⚛ (Iconoclast),"Los Angeles, CA",California,los_angeles,34.052235,-118.243683,Mon Nov 26 23:15:55 +0000 2018,-0.1,0.5,"RT : Completely unsurprised that people are already gene-editing human babies , and that the first would come from China . Sligh"
Christopher Wisehart,"Los Angeles, CA",California,los_angeles,34.052235,-118.243683,Mon Nov 26 23:15:43 +0000 2018,-0.1,0.5,"RT : Completely unsurprised that people are already gene-editing human babies , and that the first would come from China . Sligh"
K. Rudolph,"Los Angeles, CA",California,los_angeles,34.052235,-118.243683,Mon Nov 26 23:15:03 +0000 2018,-0.1,0.5,"RT : Completely unsurprised that people are already gene-editing human babies , and that the first would come from China . Sligh"
Sean Carroll,"Los Angeles, CA",California,los_angeles,34.052235,-118.243683,Mon Nov 26 23:13:57 +0000 2018,-0.3,0.3,"Completely unsurprised that people are already gene-editing human babies , and that the first would come from China ."
Quintine Fowler,"Los Angeles, CA",California,los_angeles,34.052235,-118.243683,Mon Nov 26 23:04:13 +0000 2018,-0.4,0.4,Chinese Scientist Claims to Make First Genetically Edited Babies
"MDtree, Inc.","Los Angeles, CA",California,los_angeles,34.052235,-118.243683,Mon Nov 26 22:58:05 +0000 2018,-0.5,0.5,""" Chinese Scientist Claims to Make First Genetically Edited Babies "" by GINA KOLATA , SUI-LEE WEE and PAM BELLUCK via"
Yaco M.D,"Los Angeles, CA",California,los_angeles,34.052235,-118.243683,Mon Nov 26 22:57:07 +0000 2018,-0.5,0.5,""" Chinese Scientist Claims to Make First Genetically Edited Babies "" via NYT"
James Lloyd,"Los Angeles, CA",California,los_angeles,34.052235,-118.243683,Mon Nov 26 21:49:38 +0000 2018,-0.3,1,RT : And there is a Part / 3 ! ! ! Even the hospital denies involvment
❄️rob's xmas time tweets❄️,"Los Angeles, CA",California,los_angeles,34.052235,-118.243683,Mon Nov 26 20:20:36 +0000 2018,-0.5,0.5,"and the fact that a Chinese scientist has announced gene-edited births which is , uh , real bad"
Sanden Totten,"Los Angeles, CA",California,los_angeles,34.052235,-118.243683,Mon Nov 26 20:19:38 +0000 2018,0.1,0.2,"Scientist in China claims to have used CRIPR gene editing to on human embryos . If true , the world will be forever"
KEN,"State College, PA",Pennsylvania,penn,41.203323,-77.194527,Wed Nov 28 19:34:29 +0000 2018,-0.4,0.4,Chinese Scientist Claims to Use Crispr to Make First Genetically Edited Babies
Men Are Not Angels,"State College, PA",Pennsylvania,penn,41.203323,-77.194527,Mon Nov 26 15:49:56 +0000 2018,0.8,0.8,The perfect Chinese in the making .
Tim Eigo,"Phoenix, AZ",Arizona,phoenix,33.448376,-112.074036,Wed Nov 28 01:40:06 +0000 2018,0,0,"Chinese scientist claims worlds first gene-edited babies , amid international outcry ."
Tim Eigo,"Phoenix, AZ",Arizona,phoenix,33.448376,-112.074036,Tue Nov 27 17:47:43 +0000 2018,0,0,"Chinese scientist claims worlds first gene-edited babies , amid international outcry ."
Tony Ramirez,"Phoenix, AZ",Arizona,phoenix,33.448376,-112.074036,Tue Nov 27 16:33:37 +0000 2018,-0.3,0.6,Five reporters contributed to this story . Dr . He said he had gotten permission to do the work from the ethics boar
Gr8estIdeaEver,"Phoenix, AZ",Arizona,phoenix,33.448376,-112.074036,Tue Nov 27 06:04:37 +0000 2018,-0.4,0.4,Chinese Scientist Claims to Use Crispr to Make First Genetically Edited Babies
"STEAM??!- I am an Impolite, Arrogant Woman","Phoenix, AZ",Arizona,phoenix,33.448376,-112.074036,Tue Nov 27 03:25:06 +0000 2018,0.2,0.2,A Reckless and Needless Use of Gene-Editing on Human Embryos
David Muller,"Phoenix, AZ",Arizona,phoenix,33.448376,-112.074036,Tue Nov 27 01:10:20 +0000 2018,-0.5,0.5,""" Chinese Scientist Claims to Use Crispr to Make First Genetically Edited Babies "" by GINA KOLATA , SUI-LEE WEE and PA"
🌊     The Engineer     🌊,"Phoenix, AZ",Arizona,phoenix,33.448376,-112.074036,Mon Nov 26 17:08:00 +0000 2018,0.2,0.2,Gene editing is inevitable Cybernetics is inevitable We already put hardware in people We already put electronics i
Tyr Witten.,"Phoenix, AZ",Arizona,phoenix,33.448376,-112.074036,Mon Nov 26 13:56:13 +0000 2018,0,0,China baby gene editing claim ' dubious ' - BBC News US
Eugenia Berg,"Seattle, WA",Washington,seattle,47.608013,-122.335167,Sat Dec 01 18:06:24 +0000 2018,0,0,"RT : Earlier this week , a scientist announced he genetically edited and implanted embryos that resulted in a twin birth in China"
UW Medicine,"Seattle, WA",Washington,seattle,47.608013,-122.335167,Sat Dec 01 18:00:40 +0000 2018,0,0,"Earlier this week , a scientist announced he genetically edited and implanted embryos that resulted in a twin birth"
Prashant Yadav,"Seattle, WA",Washington,seattle,47.608013,-122.335167,Fri Nov 30 20:04:07 +0000 2018,0,0,Under scrutiny now is the global #supplychain for material inputs which enabled the Crisprd twins in China .
kundacoffee,"Seattle, WA",Washington,seattle,47.608013,-122.335167,Fri Nov 30 10:34:20 +0000 2018,0.9,0.9,""" As China Seeks Scientific Greatness , Some Say Ethics Are an Afterthought "" by SUI-LEE WEE and ELSIE CHEN via NYT Th"
LadyLiberty,"Seattle, WA",Washington,seattle,47.608013,-122.335167,Thu Nov 29 14:35:50 +0000 2018,0,0,Anyone buying that China is really going to ban gene editing ? Any bets in how long those twins will be allowed to survive ?
⚡️Kathy E Gill,"Seattle, WA",Washington,seattle,47.608013,-122.335167,Thu Nov 29 13:36:23 +0000 2018,-0.1,0.1,""" China Halts Work by Scientist Who Says He Edited Babies Genes "" via"
Cosmic Log,"Seattle, WA",Washington,seattle,47.608013,-122.335167,Wed Nov 28 22:28:00 +0000 2018,0,0,Human gene-editing experiment is put on hold in China amid international furor
Alan Boyle,"Seattle, WA",Washington,seattle,47.608013,-122.335167,Wed Nov 28 22:17:18 +0000 2018,0,0,Human gene-editing experiment is put on hold amid international outcry : #GeneEditSummit
GeekWire,"Seattle, WA",Washington,seattle,47.608013,-122.335167,Wed Nov 28 22:08:02 +0000 2018,0,0,Human gene-editing experiment is put on hold in China amid international furor
"Stephan Guyenet, PhD","Seattle, WA",Washington,seattle,47.608013,-122.335167,Tue Nov 27 21:44:37 +0000 2018,0.2,0.4,There will certainly be differences of opinion and we'll have to decide as a society what we want . I
LocalHealthGuide,"Seattle, WA",Washington,seattle,47.608013,-122.335167,Tue Nov 27 16:11:29 +0000 2018,0,0.1,China wants to be a leader in gene-editing babies - - but at what cost ? #CRISPR #crisprbabies
"R. A Martin, Jr.","Seattle, WA",Washington,seattle,47.608013,-122.335167,Tue Nov 27 16:04:03 +0000 2018,-0.4,0.4,Chinese Scientist Claims to Use Crispr to Make First Genetically Edited Babies
Christopher Robinson,"Seattle, WA",Washington,seattle,47.608013,-122.335167,Tue Nov 27 03:07:44 +0000 2018,0,1,Chinese Scientist Claims to Use Crispr to Make First Genetically Edited Babies . Welcome to the beginning of the end .
Dave Amerika,"Seattle, WA",Washington,seattle,47.608013,-122.335167,Tue Nov 27 02:57:04 +0000 2018,-0.2,0.5,Probably also didn't mention they'll have wrench-hands . Chinese Scientist Claims to Use Crispr to Make First Genet
Kirila,"Seattle, WA",Washington,seattle,47.608013,-122.335167,Tue Nov 27 01:18:14 +0000 2018,-0.4,0.4,Chinese Scientist Claims to Use Crispr to Make First Genetically Edited Babies
Muhammad Hassan,"Seattle, WA",Washington,seattle,47.608013,-122.335167,Mon Nov 26 23:00:10 +0000 2018,0.5,0.5,The legal framework around gene-editing babies is murky at best
andrew furman 🏥⚕️💻,"Seattle, WA",Washington,seattle,47.608013,-122.335167,Mon Nov 26 18:28:30 +0000 2018,0,0,The Jiankui He Lab at South University of Science and Technology of China is claiming to have used a CRISPR / Cas 9 ge
InvestmentTaoist,"Seattle, WA",Washington,seattle,47.608013,-122.335167,Mon Nov 26 16:36:02 +0000 2018,0,0,"Mystery swirled around a Chinese researchers claim to have produced the worlds first genetically-edited babies , a"
Sharie,"Seattle, WA",Washington,seattle,47.608013,-122.335167,Mon Nov 26 14:27:42 +0000 2018,-0.8,0.8,"Chinese scientist claims world's first gene-edited babies , hospital denies involvement"
